route,source_file,status,screenshot_admin,screenshot_user,notes
"/accounting/accounts","apps/web/src/app/accounting/accounts/page.tsx","NOT_RUN","","","이번 런 범위 외"
"/accounting/journal-entries/[id]","apps/web/src/app/accounting/journal-entries/[id]/page.tsx","NOT_RUN","","","이번 런 범위 외"
"/accounting/journal-entries","apps/web/src/app/accounting/journal-entries/page.tsx","NOT_RUN","","","이번 런 범위 외"
"/approvals","apps/web/src/app/approvals/page.tsx","PASS","docs/qa/runs/2026-03-17-nav-modal-layout-hotfix/screenshots/admin/admin-03-approvals-inbox.png","docs/qa/runs/2026-03-17-nav-modal-layout-hotfix/screenshots/user/user-03-approvals-inbox.png","관리자/일반 사용자 스크린샷 캡처 완료"
"/attendance/corrections","apps/web/src/app/attendance/corrections/page.tsx","NOT_RUN","","","이번 런 범위 외"
"/attendance/ledger","apps/web/src/app/attendance/ledger/page.tsx","PASS","docs/qa/runs/2026-03-17-nav-modal-layout-hotfix/screenshots/admin/admin-04-attendance-ledger.png","docs/qa/runs/2026-03-17-nav-modal-layout-hotfix/screenshots/user/user-04-attendance-ledger.png","관리자/일반 사용자 스크린샷 캡처 완료"
"/attendance/raw","apps/web/src/app/attendance/raw/page.tsx","NOT_RUN","","","이번 런 범위 외"
"/attendance/shift-policies","apps/web/src/app/attendance/shift-policies/page.tsx","NOT_RUN","","","이번 런 범위 외"
"/collaboration","apps/web/src/app/collaboration/page.tsx","PASS","docs/qa/runs/2026-03-17-nav-modal-layout-hotfix/screenshots/admin/admin-07-collaboration-hub.png","docs/qa/runs/2026-03-17-nav-modal-layout-hotfix/screenshots/user/user-07-collaboration-hub.png","관리자/일반 사용자 스크린샷 캡처 완료"
"/companies/[id]","apps/web/src/app/companies/[id]/page.tsx","NOT_RUN","","","이번 런 범위 외"
"/companies","apps/web/src/app/companies/page.tsx","NOT_RUN","","","이번 런 범위 외"
"/departments","apps/web/src/app/departments/page.tsx","NOT_RUN","","","이번 런 범위 외"
"/documents","apps/web/src/app/documents/page.tsx","PASS","docs/qa/runs/2026-03-17-nav-modal-layout-hotfix/screenshots/admin/admin-02-documents-and-templates.png","docs/qa/runs/2026-03-17-nav-modal-layout-hotfix/screenshots/user/user-02-documents-and-templates.png","관리자/일반 사용자 스크린샷 캡처 완료"
"/employees/[id]/edit","apps/web/src/app/employees/[id]/edit/page.tsx","NOT_RUN","","","이번 런 범위 외"
"/employees/[id]","apps/web/src/app/employees/[id]/page.tsx","NOT_RUN","","","이번 런 범위 외"
"/employees/new","apps/web/src/app/employees/new/page.tsx","NOT_RUN","","","이번 런 범위 외"
"/employees","apps/web/src/app/employees/page.tsx","PASS","docs/qa/runs/2026-03-17-nav-modal-layout-hotfix/screenshots/admin/admin-01-employees-directory.png","docs/qa/runs/2026-03-17-nav-modal-layout-hotfix/screenshots/user/user-01-employees-directory.png","관리자/일반 사용자 스크린샷 캡처 완료"
"/expenses/[id]","apps/web/src/app/expenses/[id]/page.tsx","NOT_RUN","","","이번 런 범위 외"
"/expenses","apps/web/src/app/expenses/page.tsx","PASS","docs/qa/runs/2026-03-17-nav-modal-layout-hotfix/screenshots/admin/admin-05-expense-claims.png","docs/qa/runs/2026-03-17-nav-modal-layout-hotfix/screenshots/user/user-05-expense-claims.png","관리자/일반 사용자 스크린샷 캡처 완료"
"/exports","apps/web/src/app/exports/page.tsx","NOT_RUN","","","이번 런 범위 외"
"/files","apps/web/src/app/files/page.tsx","NOT_RUN","","","이번 런 범위 외"
"/imports","apps/web/src/app/imports/page.tsx","NOT_RUN","","","이번 런 범위 외"
"/leave","apps/web/src/app/leave/page.tsx","PASS","","","네비게이션 반복 회귀로 페이지 접근/재진입 검증"
"/login","apps/web/src/app/login/page.tsx","PASS","","","세션 주입 전후 로그인 리다이렉트 정상"
"/","apps/web/src/app/page.tsx","PASS","docs/qa/runs/2026-03-17-nav-modal-layout-hotfix/screenshots/admin/admin-00-ai-native-landing.png","docs/qa/runs/2026-03-17-nav-modal-layout-hotfix/screenshots/user/user-00-ai-native-landing.png","관리자/일반 사용자 스크린샷 캡처 완료"
"/workspace","apps/web/src/app/workspace/page.tsx","PASS","docs/qa/runs/2026-03-17-nav-modal-layout-hotfix/screenshots/admin/admin-06-workspace-hub.png","docs/qa/runs/2026-03-17-nav-modal-layout-hotfix/screenshots/user/user-06-workspace-hub.png","관리자/일반 사용자 스크린샷 캡처 완료"
