route,source_file,status,screenshot_admin,screenshot_user,notes
"/accounting/accounts","apps/web/src/app/accounting/accounts/page.tsx","TODO","","",""
"/accounting/journal-entries/[id]","apps/web/src/app/accounting/journal-entries/[id]/page.tsx","TODO","","",""
"/accounting/journal-entries","apps/web/src/app/accounting/journal-entries/page.tsx","TODO","","",""
"/approvals","apps/web/src/app/approvals/page.tsx","TODO","","",""
"/attendance/corrections","apps/web/src/app/attendance/corrections/page.tsx","TODO","","",""
"/attendance/ledger","apps/web/src/app/attendance/ledger/page.tsx","TODO","","",""
"/attendance/raw","apps/web/src/app/attendance/raw/page.tsx","TODO","","",""
"/attendance/shift-policies","apps/web/src/app/attendance/shift-policies/page.tsx","TODO","","",""
"/companies/[id]","apps/web/src/app/companies/[id]/page.tsx","TODO","","",""
"/companies","apps/web/src/app/companies/page.tsx","TODO","","",""
"/departments","apps/web/src/app/departments/page.tsx","TODO","","",""
"/documents","apps/web/src/app/documents/page.tsx","TODO","","",""
"/employees/[id]/edit","apps/web/src/app/employees/[id]/edit/page.tsx","TODO","","",""
"/employees/[id]","apps/web/src/app/employees/[id]/page.tsx","TODO","","",""
"/employees/new","apps/web/src/app/employees/new/page.tsx","TODO","","",""
"/employees","apps/web/src/app/employees/page.tsx","TODO","","",""
"/expenses/[id]","apps/web/src/app/expenses/[id]/page.tsx","TODO","","",""
"/expenses","apps/web/src/app/expenses/page.tsx","TODO","","",""
"/exports","apps/web/src/app/exports/page.tsx","TODO","","",""
"/files","apps/web/src/app/files/page.tsx","TODO","","",""
"/imports","apps/web/src/app/imports/page.tsx","TODO","","",""
"/leave","apps/web/src/app/leave/page.tsx","TODO","","",""
"/login","apps/web/src/app/login/page.tsx","TODO","","",""
"/","apps/web/src/app/page.tsx","TODO","","",""
